Article,Downloads
Innate Biases,13
Orphan Drugs: Understanding the FDA Approval Process,6
"FDA Device Regulation: 510(k), PMA",3
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,3
FDA Drug Regulation: Investigational New Drug Applications,2
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,2
Accelerators and Incubators,1
Intellectual Property: Commercializing in a University Setting,1
Writing Business Plans for a Life Science Startup or Clinical Program,1
Intellectual Property Protection for Biologics,1
