Article,Downloads
Writing Business Plans for a Life Science Startup or Clinical Program,2
Startup Company Formation and Management,1
Identifying Unmet Needs: Problems that Need Solutions,1
Rapid Prototyping Strategies,1
Social Entrepreneurship in Healthcare,1
Development Strategies for Animal Medical Therapeutics,1
Intellectual Property: Ownership and Protection in a University Setting,1
Working with the University Technology Transfer Office,1
Pediatric Medical Device Development Pathways,1
SBIR/STTR Grants: Introduction and Overview,1
Angel Investors,1
Resources at Academic Entrepreneurship Centers,1
Nonprofit and Foundation Sponsored Research: Developing New Models of Collaboration for Research and Development,1
Conducting Insightful Market Research,1
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,1
I-Corps as a Training Tool for New Technology Development,1
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,1
Innate Biases,1
Negotiation Strategies,1
Strategic Planning and Costs of FDA Regulation,1
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,1
Clinical and Translational Science Awards,1
Seeking Venture Capital Investment,1
