Article,Downloads
Intellectual Property Protection for Biologics,24
Orphan Drugs: Understanding the FDA Approval Process,17
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,13
Preclinical Animal Models,13
FDA Drug Regulation: Investigational New Drug Applications,13
"FDA Device Regulation: 510(k), PMA",11
Writing Business Plans for a Life Science Startup or Clinical Program,7
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,6
Accelerators and Incubators,4
Working with the University Technology Transfer Office,4
Innate Biases,4
Equity Allocation in Startups,3
Careers in Academia and Industry: Transitions and Challenges,2
Digital Health: Software as a Medical Device,1
Identifying Unmet Needs: Problems that Need Solutions,1
Handling Disruptive Innovation in Clinical and Research Settings,1
Intellectual Property: Commercializing in a University Setting,1
Resources at Academic Entrepreneurship Centers,1
Development of Radiographic Contrast Agents for Diagnostic Imaging,1
SBIR/STTR Grants: Application Guidance,1
Strategic Planning and Costs of FDA Regulation,1
Overview of Drug Development,1
Angel Investors,1
