Article,Downloads
"FDA Device Regulation: 510(k), PMA",3
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,3
FDA Drug Regulation: Investigational New Drug Applications,3
Identifying Unmet Needs: Problems that Need Solutions,2
Writing Business Plans for a Life Science Startup or Clinical Program,2
Orphan Drugs: Understanding the FDA Approval Process,2
Innate Biases,2
Social Entrepreneurship in Healthcare,1
Accelerators and Incubators,1
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,1
Digital Health: Software as a Medical Device,1
Preclinical Animal Models,1
